
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   15:00:54  DEC 06, 2025 CP=      1.875

 simulazioneTrasduttoreUltrasonicoConConcentratore--Harmonic Response (E3)     



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    29700.       0.00000       0.00000      -1970.79       0.00000     
    29800.       0.00000       0.00000      -1963.51       0.00000     
    29900.       0.00000       0.00000      -1956.25       0.00000     
    30000.       0.00000       0.00000      -1948.96       0.00000     
    30100.       0.00000       0.00000      -1942.05       0.00000     
    30200.       0.00000       0.00000      -1934.89       0.00000     
    30300.       0.00000       0.00000      -1927.81       0.00000     
    30400.       0.00000       0.00000      -1920.78       0.00000     
    30500.       0.00000       0.00000      -1913.80       0.00000     
    30600.       0.00000       0.00000      -1906.85       0.00000     
    30700.       0.00000       0.00000      -1899.95       0.00000     
    30800.       0.00000       0.00000      -1893.08       0.00000     
    30900.       0.00000       0.00000      -1886.25       0.00000     
    31000.       0.00000       0.00000      -1879.45       0.00000     
    31100.       0.00000       0.00000      -1872.69       0.00000     
    31200.       0.00000       0.00000      -1865.97       0.00000     
    31300.       0.00000       0.00000      -1859.27       0.00000     
    31400.       0.00000       0.00000      -1852.61       0.00000     
    31500.       0.00000       0.00000      -1845.98       0.00000     
    31600.       0.00000       0.00000      -1839.38       0.00000     
    31700.       0.00000       0.00000      -1832.81       0.00000     
    31800.       0.00000       0.00000      -1826.27       0.00000     
    31900.       0.00000       0.00000      -1819.75       0.00000     
    32000.       0.00000       0.00000      -1813.27       0.00000     
    32100.       0.00000       0.00000      -1806.80       0.00000     
    32200.       0.00000       0.00000      -1800.37       0.00000     
    32300.       0.00000       0.00000      -1793.95       0.00000     
    32400.       0.00000       0.00000      -1787.56       0.00000     
    32500.       0.00000       0.00000      -1781.19       0.00000     
    32600.       0.00000       0.00000      -1774.84       0.00000     
    32700.       0.00000       0.00000      -1768.51       0.00000     
    32800.       0.00000       0.00000      -1762.20       0.00000     
    32900.       0.00000       0.00000      -1755.90       0.00000     
    33000.       0.00000       0.00000      -1749.62       0.00000     
    33100.       0.00000       0.00000      -1743.35       0.00000     
    33200.       0.00000       0.00000      -1737.09       0.00000     
    33300.       0.00000       0.00000      -1730.85       0.00000     
    33400.       0.00000       0.00000      -1724.61       0.00000     
    33500.       0.00000       0.00000      -1718.39       0.00000     
    33600.       0.00000       0.00000      -1712.16       0.00000     
    33700.       0.00000       0.00000      -1705.95       0.00000     
    33800.       0.00000       0.00000      -1699.73       0.00000     
    33900.       0.00000       0.00000      -1693.52       0.00000     
    34000.       0.00000       0.00000      -1687.30       0.00000     
    34100.       0.00000       0.00000      -1681.08       0.00000     
    34200.       0.00000       0.00000      -1674.85       0.00000     
    34300.       0.00000       0.00000      -1668.61       0.00000     
    34400.       0.00000       0.00000      -1662.36       0.00000     
    34500.       0.00000       0.00000      -1656.10       0.00000     
    34600.       0.00000       0.00000      -1649.82       0.00000     
    34700.       0.00000       0.00000      -1643.51       0.00000     
    34800.       0.00000       0.00000      -1637.18       0.00000     
    34900.       0.00000       0.00000      -1630.82       0.00000     
    35000.       0.00000       0.00000      -1624.42       0.00000     
    35100.       0.00000       0.00000      -1617.99       0.00000     
    35200.       0.00000       0.00000      -1611.51       0.00000     
    35300.       0.00000       0.00000      -1604.98       0.00000     
    35400.       0.00000       0.00000      -1598.39       0.00000     
    35500.       0.00000       0.00000      -1591.74       0.00000     
    35600.       0.00000       0.00000      -1585.01       0.00000     
    35700.       0.00000       0.00000      -1578.21       0.00000     
    35800.       0.00000       0.00000      -1571.31       0.00000     
    35900.       0.00000       0.00000      -1564.32       0.00000     
    36000.       0.00000       0.00000      -1557.21       0.00000     
    36100.       0.00000       0.00000      -1549.97       0.00000     
    36200.       0.00000       0.00000      -1542.59       0.00000     
    36300.       0.00000       0.00000      -1535.05       0.00000     
    36400.       0.00000       0.00000      -1527.33       0.00000     
    36500.       0.00000       0.00000      -1519.41       0.00000     
    36600.       0.00000       0.00000      -1511.26       0.00000     
    36700.       0.00000       0.00000      -1502.85       0.00000     
    36800.       0.00000       0.00000      -1494.14       0.00000     
    36900.       0.00000       0.00000      -1485.10       0.00000     
    37000.       0.00000       0.00000      -1475.67       0.00000     
    37100.       0.00000       0.00000      -1465.79       0.00000     
    37200.       0.00000       0.00000      -1455.40       0.00000     
    37300.       0.00000       0.00000      -1444.41       0.00000     
    37400.       0.00000       0.00000      -1432.72       0.00000     
    37500.       0.00000       0.00000      -1420.21       0.00000     
    37600.       0.00000       0.00000      -1406.70       0.00000     
    37700.       0.00000       0.00000      -1392.01       0.00000     
    37800.       0.00000       0.00000      -1375.88       0.00000     
    37900.       0.00000       0.00000      -1357.98       0.00000     
    38000.       0.00000       0.00000      -1337.86       0.00000     
    38100.       0.00000       0.00000      -1314.92       0.00000     
    38200.       0.00000       0.00000      -1288.32       0.00000     
    38300.       0.00000       0.00000      -1256.87       0.00000     
    38400.       0.00000       0.00000      -1218.78       0.00000     
    38500.       0.00000       0.00000      -1171.26       0.00000     
    38600.       0.00000       0.00000      -1109.73       0.00000     
    38700.       0.00000       0.00000      -1026.06       0.00000     
    38800.       0.00000       0.00000      -904.378       0.00000     
    38900.       0.00000       0.00000      -708.824       0.00000     
    39000.       0.00000       0.00000      -337.875       0.00000     
    39100.       0.00000       0.00000       653.156       0.00000     
    39200.       0.00000       0.00000       12408.1       0.00000     
    39300.       0.00000       0.00000      -4616.90       0.00000     
    39400.       0.00000       0.00000      -2893.81       0.00000     
    39500.       0.00000       0.00000      -2391.45       0.00000     
    39600.       0.00000       0.00000      -2150.30       0.00000     
    39700.       0.00000       0.00000      -2007.67       0.00000     
    39800.       0.00000       0.00000      -1912.76       0.00000     
    39900.       0.00000       0.00000      -1844.57       0.00000     
    40000.       0.00000       0.00000      -1792.86       0.00000     
