!Keysight Technologies,E4990A,MY54403861,A.04.00
!Date: Wed Mar 26 11:24:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+9.75087500000e+005, +3.00052573140e+001, -8.30060605286e+001
+9.75200000000e+005, +2.98524999641e+001, -8.29784090208e+001
+9.75312500000e+005, +2.96992913608e+001, -8.29505719168e+001
+9.75425000000e+005, +2.95470010778e+001, -8.29237711132e+001
+9.75537500000e+005, +2.93935885485e+001, -8.28952160131e+001
+9.75650000000e+005, +2.92409216263e+001, -8.28663234454e+001
+9.75762500000e+005, +2.90877029673e+001, -8.28367829385e+001
+9.75875000000e+005, +2.89347167166e+001, -8.28068473705e+001
+9.75987500000e+005, +2.87816575519e+001, -8.27768674165e+001
+9.76100000000e+005, +2.86291362589e+001, -8.27471419230e+001
+9.76212500000e+005, +2.84765329407e+001, -8.27151130607e+001
+9.76325000000e+005, +2.83229887940e+001, -8.26831060367e+001
+9.76437500000e+005, +2.81694799925e+001, -8.26507314175e+001
+9.76550000000e+005, +2.80159259298e+001, -8.26190430409e+001
+9.76662500000e+005, +2.78627103228e+001, -8.25860478681e+001
+9.76775000000e+005, +2.77082668576e+001, -8.25506576861e+001
+9.76887500000e+005, +2.75537830279e+001, -8.25174976780e+001
+9.77000000000e+005, +2.73993459897e+001, -8.24814078316e+001
+9.77112500000e+005, +2.72444036947e+001, -8.24468060706e+001
+9.77225000000e+005, +2.70902009322e+001, -8.24103065049e+001
+9.77337500000e+005, +2.69351670843e+001, -8.23733469903e+001
+9.77450000000e+005, +2.67802713655e+001, -8.23356126419e+001
+9.77562500000e+005, +2.66241680931e+001, -8.22950472753e+001
+9.77675000000e+005, +2.64686388165e+001, -8.22566919631e+001
+9.77787500000e+005, +2.63126762932e+001, -8.22150857944e+001
+9.77900000000e+005, +2.61570179046e+001, -8.21718410571e+001
+9.78012500000e+005, +2.60011216873e+001, -8.21293077867e+001
+9.78125000000e+005, +2.58445104829e+001, -8.20852609953e+001
+9.78237500000e+005, +2.56883289326e+001, -8.20397379693e+001
+9.78350000000e+005, +2.55319301137e+001, -8.19941779303e+001
+9.78462500000e+005, +2.53751269713e+001, -8.19448402954e+001
+9.78575000000e+005, +2.52191043513e+001, -8.18968490295e+001
+9.78687500000e+005, +2.50618486587e+001, -8.18472425229e+001
+9.78800000000e+005, +2.49044927968e+001, -8.17963609689e+001
+9.78912500000e+005, +2.47476086790e+001, -8.17444783078e+001
+9.79025000000e+005, +2.45911196403e+001, -8.16917747850e+001
+9.79137500000e+005, +2.44329060732e+001, -8.16381549672e+001
+9.79250000000e+005, +2.42763005656e+001, -8.15840302466e+001
+9.79362500000e+005, +2.41187754053e+001, -8.15262759342e+001
+9.79475000000e+005, +2.39603899558e+001, -8.14698398766e+001
+9.79587500000e+005, +2.38028257731e+001, -8.14122658414e+001
+9.79700000000e+005, +2.36445647107e+001, -8.13501805016e+001
+9.79812500000e+005, +2.34865163559e+001, -8.12888926598e+001
+9.79925000000e+005, +2.33277968543e+001, -8.12268643828e+001
+9.80037500000e+005, +2.31693903268e+001, -8.11618998158e+001
+9.80150000000e+005, +2.30105060132e+001, -8.10959144557e+001
+9.80262500000e+005, +2.28520455324e+001, -8.10288826263e+001
+9.80375000000e+005, +2.26922665490e+001, -8.09603224103e+001
+9.80487500000e+005, +2.25336132210e+001, -8.08903964442e+001
+9.80600000000e+005, +2.23745913720e+001, -8.08180591876e+001
+9.80712500000e+005, +2.22139953527e+001, -8.07432936940e+001
+9.80825000000e+005, +2.20557828040e+001, -8.06700352168e+001
+9.80937500000e+005, +2.18962107146e+001, -8.05930937595e+001
+9.81050000000e+005, +2.17362568667e+001, -8.05123617984e+001
+9.81162500000e+005, +2.15762144923e+001, -8.04336662169e+001
+9.81275000000e+005, +2.14161636539e+001, -8.03515074229e+001
+9.81387500000e+005, +2.12562709314e+001, -8.02667782565e+001
+9.81500000000e+005, +2.10953324862e+001, -8.01816443862e+001
