!Keysight Technologies,E4990A,MY54403861,A.04.00
!Date: Wed Mar 26 11:24:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+1.04303750000e+006, +2.68327513339e+002, +6.16645906691e+001
+1.04315000000e+006, +2.71772578369e+002, +6.10396543979e+001
+1.04326250000e+006, +2.75303731585e+002, +6.03944608855e+001
+1.04337500000e+006, +2.78872964639e+002, +5.97184282609e+001
+1.04348750000e+006, +2.82489741136e+002, +5.90182846683e+001
+1.04360000000e+006, +2.86160750401e+002, +5.82886994078e+001
+1.04371250000e+006, +2.89864949997e+002, +5.75311560843e+001
+1.04382500000e+006, +2.93599756884e+002, +5.67444694823e+001
+1.04393750000e+006, +2.97351585237e+002, +5.59270099131e+001
+1.04405000000e+006, +3.01144623505e+002, +5.50836898621e+001
+1.04416250000e+006, +3.04919161500e+002, +5.41980806080e+001
+1.04427500000e+006, +3.08719409112e+002, +5.32868637552e+001
+1.04438750000e+006, +3.12525583578e+002, +5.23350420951e+001
+1.04450000000e+006, +3.16282788394e+002, +5.13527328915e+001
+1.04461250000e+006, +3.20021167039e+002, +5.03314304201e+001
+1.04472500000e+006, +3.23707924987e+002, +4.92756012127e+001
+1.04483750000e+006, +3.27342909620e+002, +4.81820329509e+001
+1.04495000000e+006, +3.30887028163e+002, +4.70520318260e+001
+1.04506250000e+006, +3.34322284705e+002, +4.58828905948e+001
+1.04517500000e+006, +3.37668908789e+002, +4.46758807842e+001
+1.04528750000e+006, +3.40844974340e+002, +4.34315539722e+001
+1.04540000000e+006, +3.43858594266e+002, +4.21462974328e+001
+1.04551250000e+006, +3.46734508637e+002, +4.08329483271e+001
+1.04562500000e+006, +3.49343584553e+002, +3.94774118718e+001
+1.04573750000e+006, +3.51754064527e+002, +3.80893448683e+001
+1.04585000000e+006, +3.53930050214e+002, +3.66662791294e+001
+1.04596250000e+006, +3.55794613956e+002, +3.52118913759e+001
+1.04607500000e+006, +3.57364867998e+002, +3.37232006624e+001
+1.04618750000e+006, +3.58558518635e+002, +3.22088022273e+001
+1.04630000000e+006, +3.59365764045e+002, +3.06706655141e+001
+1.04641250000e+006, +3.59825821267e+002, +2.91260520723e+001
+1.04652500000e+006, +3.59925436017e+002, +2.75613512402e+001
+1.04663750000e+006, +3.59628912045e+002, +2.59867964199e+001
+1.04675000000e+006, +3.58983161509e+002, +2.44043436655e+001
+1.04686250000e+006, +3.57927405789e+002, +2.28100848720e+001
+1.04697500000e+006, +3.56463253602e+002, +2.12200779823e+001
+1.04708750000e+006, +3.54574362241e+002, +1.96312747605e+001
+1.04720000000e+006, +3.52298839697e+002, +1.80419232561e+001
+1.04731250000e+006, +3.49641917676e+002, +1.64721447063e+001
+1.04742500000e+006, +3.46608469155e+002, +1.49189047185e+001
+1.04753750000e+006, +3.43164406493e+002, +1.33860189015e+001
+1.04765000000e+006, +3.39410841037e+002, +1.18761166991e+001
+1.04776250000e+006, +3.35356370969e+002, +1.03948419217e+001
+1.04787500000e+006, +3.31003725255e+002, +8.94322860544e+000
+1.04798750000e+006, +3.26391346926e+002, +7.53345977197e+000
+1.04810000000e+006, +3.21557645041e+002, +6.15637272816e+000
+1.04821250000e+006, +3.16481923369e+002, +4.82567057243e+000
+1.04832500000e+006, +3.11274024335e+002, +3.53417373885e+000
+1.04843750000e+006, +3.05890553687e+002, +2.29245529248e+000
+1.04855000000e+006, +3.00415611511e+002, +1.09146080573e+000
+1.04866250000e+006, +2.94807010158e+002, -5.54379903722e-002
+1.04877500000e+006, +2.89162611580e+002, -1.15307013544e+000
+1.04888750000e+006, +2.83463332869e+002, -2.19844131654e+000
+1.04900000000e+006, +2.77753467671e+002, -3.18853369454e+000
+1.04911250000e+006, +2.72071205438e+002, -4.12856317457e+000
+1.04922500000e+006, +2.66444565944e+002, -5.02363638404e+000
+1.04933750000e+006, +2.60837576542e+002, -5.87288433754e+000
+1.04945000000e+006, +2.55276622649e+002, -6.67541065222e+000
+1.04956250000e+006, +2.49788145967e+002, -7.43283939026e+000
+1.04967500000e+006, +2.44354381048e+002, -8.14384571548e+000
+1.04978750000e+006, +2.38999008932e+002, -8.80676387481e+000
+1.04990000000e+006, +2.33736615136e+002, -9.43056127402e+000
+1.05001250000e+006, +2.28539361899e+002, -1.00067983399e+001
+1.05012500000e+006, +2.23471685876e+002, -1.05416160436e+001
+1.05023750000e+006, +2.18493409479e+002, -1.10337610361e+001
+1.05035000000e+006, +2.13604263065e+002, -1.14858900618e+001
+1.05046250000e+006, +2.08830725440e+002, -1.18990278945e+001
+1.05057500000e+006, +2.04153950136e+002, -1.22746158103e+001
+1.05068750000e+006, +1.99600154370e+002, -1.26105024207e+001
+1.05080000000e+006, +1.95137470634e+002, -1.29124457987e+001
+1.05091250000e+006, +1.90771924819e+002, -1.31777037479e+001
+1.05102500000e+006, +1.86516205778e+002, -1.34101105734e+001
+1.05113750000e+006, +1.82361664188e+002, -1.36071543919e+001
+1.05125000000e+006, +1.78300068881e+002, -1.37708981266e+001
+1.05136250000e+006, +1.74332996536e+002, -1.39011933105e+001
+1.05147500000e+006, +1.70454020603e+002, -1.40012070022e+001
+1.05158750000e+006, +1.66648799712e+002, -1.40670801562e+001
+1.05170000000e+006, +1.62925199831e+002, -1.40935862978e+001
+1.05181250000e+006, +1.59285373524e+002, -1.40748163375e+001
+1.05192500000e+006, +1.55752550679e+002, -1.40147353637e+001
+1.05203750000e+006, +1.52340921471e+002, -1.39158642410e+001
+1.05215000000e+006, +1.49046700573e+002, -1.37834112624e+001
+1.05226250000e+006, +1.45850858086e+002, -1.36276726529e+001
+1.05237500000e+006, +1.42748167790e+002, -1.34399256283e+001
+1.05248750000e+006, +1.39730092394e+002, -1.32271284118e+001
+1.05260000000e+006, +1.36797615316e+002, -1.29834199364e+001
+1.05271250000e+006, +1.33938680178e+002, -1.27088350201e+001
+1.05282500000e+006, +1.31159721201e+002, -1.24040539513e+001
+1.05293750000e+006, +1.28457024614e+002, -1.20663701184e+001
+1.05305000000e+006, +1.25825731582e+002, -1.16977641855e+001
+1.05316250000e+006, +1.23283580501e+002, -1.12952387368e+001
+1.05327500000e+006, +1.20808400794e+002, -1.08630866511e+001
+1.05338750000e+006, +1.18409591704e+002, -1.03976081309e+001
+1.05350000000e+006, +1.16084896527e+002, -9.90047462675e+000
+1.05361250000e+006, +1.13830580859e+002, -9.37302340069e+000
+1.05372500000e+006, +1.11648618820e+002, -8.81241527913e+000
+1.05383750000e+006, +1.09534087367e+002, -8.21777985083e+000
+1.05395000000e+006, +1.07481487664e+002, -7.58830746083e+000
+1.05406250000e+006, +1.05498658970e+002, -6.92201050113e+000
+1.05417500000e+006, +1.03591761303e+002, -6.21641840082e+000
+1.05428750000e+006, +1.01764901348e+002, -5.47099800823e+000
+1.05440000000e+006, +1.00022229238e+002, -4.69339725774e+000
+1.05451250000e+006, +9.83626402400e+001, -3.88730263050e+000
+1.05462500000e+006, +9.67704779018e+001, -3.05359829597e+000
+1.05473750000e+006, +9.52410399889e+001, -2.19059448453e+000
+1.05485000000e+006, +9.37766714827e+001, -1.28611367610e+000
+1.05496250000e+006, +9.23981016784e+001, -3.42980633186e-001
+1.05507500000e+006, +9.11071380325e+001, +6.37383875951e-001
+1.05518750000e+006, +8.99121703340e+001, +1.64749192250e+000
+1.05530000000e+006, +8.88140933031e+001, +2.68228230591e+000
+1.05541250000e+006, +8.78143337998e+001, +3.73277259031e+000
+1.05552500000e+006, +8.69087047381e+001, +4.79159723547e+000
+1.05563750000e+006, +8.60916042595e+001, +5.85301640096e+000
+1.05575000000e+006, +8.53539005930e+001, +6.91280798052e+000
+1.05586250000e+006, +8.46859237985e+001, +7.96326887431e+000
+1.05597500000e+006, +8.40814117292e+001, +9.00650098632e+000
+1.05608750000e+006, +8.35308775978e+001, +1.00398340476e+001
+1.05620000000e+006, +8.30347987306e+001, +1.10649623324e+001
+1.05631250000e+006, +8.25835166725e+001, +1.20814935725e+001
+1.05642500000e+006, +8.21762585932e+001, +1.30933481442e+001
+1.05653750000e+006, +8.18153212441e+001, +1.40968418248e+001
+1.05665000000e+006, +8.14956864064e+001, +1.50887905979e+001
+1.05676250000e+006, +8.12209502430e+001, +1.60721121515e+001
+1.05687500000e+006, +8.09876886019e+001, +1.70407739367e+001
+1.05698750000e+006, +8.07867159297e+001, +1.79926048615e+001
+1.05710000000e+006, +8.06175645416e+001, +1.89263411424e+001
+1.05721250000e+006, +8.04703487532e+001, +1.98450269294e+001
+1.05732500000e+006, +8.03357015707e+001, +2.07499045326e+001
+1.05743750000e+006, +8.02237432368e+001, +2.16450798995e+001
+1.05755000000e+006, +8.01217480877e+001, +2.25298725416e+001
+1.05766250000e+006, +8.00394171049e+001, +2.34079638700e+001
+1.05777500000e+006, +7.99706540963e+001, +2.42803770828e+001
+1.05788750000e+006, +7.99182802010e+001, +2.51481697972e+001
+1.05800000000e+006, +7.98844313110e+001, +2.60121237198e+001
+1.05811250000e+006, +7.98637892773e+001, +2.68712401974e+001
+1.05822500000e+006, +7.98597737486e+001, +2.77265939313e+001
+1.05833750000e+006, +7.98759610125e+001, +2.85771353682e+001
+1.05845000000e+006, +7.99042442078e+001, +2.94256557922e+001
+1.05856250000e+006, +7.99527943518e+001, +3.02714835303e+001
+1.05867500000e+006, +8.00200530966e+001, +3.11164331444e+001
+1.05878750000e+006, +8.01074403359e+001, +3.19583853286e+001
+1.05890000000e+006, +8.02146400143e+001, +3.27986989571e+001
+1.05901250000e+006, +8.03442662443e+001, +3.36330237068e+001
+1.05912500000e+006, +8.04914252391e+001, +3.44606557071e+001
+1.05923750000e+006, +8.06563857120e+001, +3.52827614317e+001
+1.05935000000e+006, +8.08365236203e+001, +3.61015434193e+001
+1.05946250000e+006, +8.10323010442e+001, +3.69175677313e+001
+1.05957500000e+006, +8.12471142612e+001, +3.77318780157e+001
+1.05968750000e+006, +8.14764836430e+001, +3.85438652070e+001
+1.05980000000e+006, +8.17274103740e+001, +3.93563421926e+001
+1.05991250000e+006, +8.20028492676e+001, +4.01663350904e+001
+1.06002500000e+006, +8.22956804231e+001, +4.09733254576e+001
+1.06013750000e+006, +8.26135439032e+001, +4.17799613169e+001
+1.06025000000e+006, +8.29566894254e+001, +4.25814306930e+001
+1.06036250000e+006, +8.33274805083e+001, +4.33828721335e+001
+1.06047500000e+006, +8.37204824819e+001, +4.41800936823e+001
+1.06058750000e+006, +8.41427707290e+001, +4.49695912672e+001
+1.06070000000e+006, +8.45933963640e+001, +4.57560836987e+001
+1.06081250000e+006, +8.50741986174e+001, +4.65382909163e+001
+1.06092500000e+006, +8.55878697756e+001, +4.73120298067e+001
+1.06103750000e+006, +8.61391703815e+001, +4.80802267013e+001
+1.06115000000e+006, +8.67281225566e+001, +4.88374605390e+001
+1.06126250000e+006, +8.73590708849e+001, +4.95811598373e+001
+1.06137500000e+006, +8.80355622874e+001, +5.03061463538e+001
+1.06148750000e+006, +8.87530586538e+001, +5.09994810812e+001
+1.06160000000e+006, +8.94981879589e+001, +5.16574132489e+001
+1.06171250000e+006, +9.02518014949e+001, +5.22767579904e+001
+1.06182500000e+006, +9.09835143462e+001, +5.28672010670e+001
+1.06193750000e+006, +9.16939789494e+001, +5.34437304992e+001
+1.06205000000e+006, +9.23832547532e+001, +5.40201629509e+001
+1.06216250000e+006, +9.30721048191e+001, +5.46011452218e+001
+1.06227500000e+006, +9.37705530945e+001, +5.51875241574e+001
+1.06238750000e+006, +9.44900685382e+001, +5.57765051743e+001
+1.06250000000e+006, +9.52377985013e+001, +5.63625953127e+001
+1.06261250000e+006, +9.60100218402e+001, +5.69418747560e+001
+1.06272500000e+006, +9.68099107051e+001, +5.75128138967e+001
+1.06283750000e+006, +9.76314861442e+001, +5.80755128290e+001
+1.06295000000e+006, +9.84758275861e+001, +5.86243566022e+001
+1.06306250000e+006, +9.93366162293e+001, +5.91650402855e+001
+1.06317500000e+006, +1.00222358555e+002, +5.96967717729e+001
+1.06328750000e+006, +1.01127133871e+002, +6.02173767871e+001
+1.06340000000e+006, +1.02052910234e+002, +6.07271439016e+001
+1.06351250000e+006, +1.02999388204e+002, +6.12237688383e+001
+1.06362500000e+006, +1.03971485569e+002, +6.17083140158e+001
+1.06373750000e+006, +1.04960039676e+002, +6.21795131287e+001
+1.06385000000e+006, +1.05959667889e+002, +6.26362911487e+001
+1.06396250000e+006, +1.06970355268e+002, +6.30823317165e+001
+1.06407500000e+006, +1.07996440722e+002, +6.35180515835e+001
+1.06418750000e+006, +1.09036277424e+002, +6.39409102775e+001
+1.06430000000e+006, +1.10084558427e+002, +6.43557414944e+001
+1.06441250000e+006, +1.11145476035e+002, +6.47619372389e+001
+1.06452500000e+006, +1.12216354210e+002, +6.51585671821e+001
+1.06463750000e+006, +1.13300462176e+002, +6.55503596674e+001
+1.06475000000e+006, +1.14404659732e+002, +6.59383379961e+001
+1.06486250000e+006, +1.15531676989e+002, +6.63180838527e+001
+1.06497500000e+006, +1.16698159061e+002, +6.66869384744e+001
+1.06508750000e+006, +1.17887585984e+002, +6.70323112732e+001
+1.06520000000e+006, +1.19077506083e+002, +6.73553511539e+001
+1.06531250000e+006, +1.20240753945e+002, +6.76664129737e+001
+1.06542500000e+006, +1.21397733855e+002, +6.79836145629e+001
+1.06553750000e+006, +1.22582470064e+002, +6.83020316930e+001
+1.06565000000e+006, +1.23800721055e+002, +6.86087724850e+001
+1.06576250000e+006, +1.25029517474e+002, +6.88984028252e+001
+1.06587500000e+006, +1.26250467469e+002, +6.91768780735e+001
+1.06598750000e+006, +1.27470098188e+002, +6.94509411418e+001
+1.06610000000e+006, +1.28693758348e+002, +6.97226818519e+001
+1.06621250000e+006, +1.29930664247e+002, +6.99924050964e+001
+1.06632500000e+006, +1.31182647062e+002, +7.02579799189e+001
+1.06643750000e+006, +1.32453020026e+002, +7.05188696106e+001
+1.06655000000e+006, +1.33730894072e+002, +7.07710410731e+001
+1.06666250000e+006, +1.35034305358e+002, +7.10162038557e+001
+1.06677500000e+006, +1.36336815322e+002, +7.12577083315e+001
+1.06688750000e+006, +1.37658053572e+002, +7.14873000814e+001
+1.06700000000e+006, +1.38984238355e+002, +7.17124889361e+001
+1.06711250000e+006, +1.40320617767e+002, +7.19336758482e+001
+1.06722500000e+006, +1.41674380866e+002, +7.21487711069e+001
+1.06733750000e+006, +1.43036386006e+002, +7.23611791183e+001
+1.06745000000e+006, +1.44417260207e+002, +7.25634911017e+001
+1.06756250000e+006, +1.45803959847e+002, +7.27617423553e+001
+1.06767500000e+006, +1.47208016103e+002, +7.29547349795e+001
+1.06778750000e+006, +1.48619981768e+002, +7.31392413451e+001
+1.06790000000e+006, +1.50047788189e+002, +7.33156931725e+001
+1.06801250000e+006, +1.51483947598e+002, +7.34883492265e+001
+1.06812500000e+006, +1.52926748196e+002, +7.36543741209e+001
+1.06823750000e+006, +1.54374324420e+002, +7.38138555808e+001
+1.06835000000e+006, +1.55828151651e+002, +7.39681635829e+001
+1.06846250000e+006, +1.57291288266e+002, +7.41172540472e+001
+1.06857500000e+006, +1.58761582934e+002, +7.42619330670e+001
+1.06868750000e+006, +1.60230447398e+002, +7.44027641007e+001
+1.06880000000e+006, +1.61714973578e+002, +7.45385270181e+001
+1.06891250000e+006, +1.63199783057e+002, +7.46711540912e+001
+1.06902500000e+006, +1.64686914675e+002, +7.47994815481e+001
+1.06913750000e+006, +1.66174515311e+002, +7.49274566161e+001
+1.06925000000e+006, +1.67678412755e+002, +7.50533886345e+001
+1.06936250000e+006, +1.69188488887e+002, +7.51779688820e+001
+1.06947500000e+006, +1.70707530147e+002, +7.53030384492e+001
+1.06958750000e+006, +1.72258986430e+002, +7.54279565482e+001
+1.06970000000e+006, +1.73828467989e+002, +7.55445059850e+001
+1.06981250000e+006, +1.75403647905e+002, +7.56503917514e+001
+1.06992500000e+006, +1.76982931849e+002, +7.57565136542e+001
+1.07003750000e+006, +1.78571352938e+002, +7.58572287290e+001
+1.07015000000e+006, +1.80166770260e+002, +7.59539723915e+001
+1.07026250000e+006, +1.81766262084e+002, +7.60446950164e+001
+1.07037500000e+006, +1.83369930396e+002, +7.61321045297e+001
+1.07048750000e+006, +1.84961123951e+002, +7.62210755491e+001
+1.07060000000e+006, +1.86557396618e+002, +7.63076307131e+001
+1.07071250000e+006, +1.88170958555e+002, +7.64001018976e+001
+1.07082500000e+006, +1.89788834977e+002, +7.64883889060e+001
+1.07093750000e+006, +1.91430844983e+002, +7.65776536281e+001
+1.07105000000e+006, +1.93085819061e+002, +7.66626544440e+001
+1.07116250000e+006, +1.94754343504e+002, +7.67446988670e+001
+1.07127500000e+006, +1.96412739037e+002, +7.68327806837e+001
+1.07138750000e+006, +1.98104717444e+002, +7.69181715941e+001
+1.07150000000e+006, +1.99813371327e+002, +7.70044051173e+001
+1.07161250000e+006, +2.01561081879e+002, +7.70845208699e+001
+1.07172500000e+006, +2.03310528369e+002, +7.71631187543e+001
+1.07183750000e+006, +2.05078537921e+002, +7.72393736145e+001
+1.07195000000e+006, +2.06868646994e+002, +7.73119309146e+001
+1.07206250000e+006, +2.08675053246e+002, +7.73791938645e+001
+1.07217500000e+006, +2.10483524103e+002, +7.74435370129e+001
+1.07228750000e+006, +2.12303848781e+002, +7.75063563051e+001
+1.07240000000e+006, +2.14140141334e+002, +7.75661200762e+001
+1.07251250000e+006, +2.15987116278e+002, +7.76258974307e+001
+1.07262500000e+006, +2.17846754135e+002, +7.76810023761e+001
+1.07273750000e+006, +2.19747180653e+002, +7.77354108743e+001
+1.07285000000e+006, +2.21645488364e+002, +7.77834338441e+001
+1.07296250000e+006, +2.23536807628e+002, +7.78271179303e+001
+1.07307500000e+006, +2.25445250238e+002, +7.78762375733e+001
+1.07318750000e+006, +2.27360631434e+002, +7.79245467129e+001
+1.07330000000e+006, +2.29304265772e+002, +7.79659661782e+001
+1.07341250000e+006, +2.31261967251e+002, +7.80132127495e+001
+1.07352500000e+006, +2.33234743280e+002, +7.80538144372e+001
+1.07363750000e+006, +2.35225766769e+002, +7.80964932257e+001
+1.07375000000e+006, +2.37226600383e+002, +7.81339915222e+001
+1.07386250000e+006, +2.39263570577e+002, +7.81684876822e+001
+1.07397500000e+006, +2.41311663526e+002, +7.82062652007e+001
+1.07408750000e+006, +2.43380484577e+002, +7.82392031762e+001
+1.07420000000e+006, +2.45479704029e+002, +7.82668369239e+001
+1.07431250000e+006, +2.47569546489e+002, +7.82902961448e+001
+1.07442500000e+006, +2.49671473940e+002, +7.83128487798e+001
+1.07453750000e+006, +2.51786755558e+002, +7.83323220036e+001
+1.07465000000e+006, +2.53908837556e+002, +7.83480609728e+001
+1.07476250000e+006, +2.56054394488e+002, +7.83675868030e+001
+1.07487500000e+006, +2.58199710364e+002, +7.83816544327e+001
+1.07498750000e+006, +2.60350979328e+002, +7.83932209499e+001
+1.07510000000e+006, +2.62505433073e+002, +7.84092814223e+001
+1.07521250000e+006, +2.64681118790e+002, +7.84238796349e+001
+1.07532500000e+006, +2.66859306842e+002, +7.84395046729e+001
+1.07543750000e+006, +2.69052129636e+002, +7.84557886566e+001
+1.07555000000e+006, +2.71263075542e+002, +7.84771972781e+001
+1.07566250000e+006, +2.73502694969e+002, +7.84958382639e+001
+1.07577500000e+006, +2.75764920794e+002, +7.85141171588e+001
+1.07588750000e+006, +2.78061301216e+002, +7.85380453378e+001
+1.07600000000e+006, +2.80378573545e+002, +7.85538452077e+001
+1.07611250000e+006, +2.82715858555e+002, +7.85773462461e+001
+1.07622500000e+006, +2.85090602595e+002, +7.85955067809e+001
+1.07633750000e+006, +2.87492160833e+002, +7.86139298455e+001
+1.07645000000e+006, +2.89914632505e+002, +7.86291513974e+001
+1.07656250000e+006, +2.92386076776e+002, +7.86413099226e+001
+1.07667500000e+006, +2.94869542217e+002, +7.86563954981e+001
+1.07678750000e+006, +2.97365808272e+002, +7.86634208811e+001
+1.07690000000e+006, +2.99906005464e+002, +7.86738279301e+001
+1.07701250000e+006, +3.02458899255e+002, +7.86834763855e+001
+1.07712500000e+006, +3.05047593482e+002, +7.86896055662e+001
+1.07723750000e+006, +3.07645299358e+002, +7.86936618458e+001
+1.07735000000e+006, +3.10271922721e+002, +7.86931441195e+001
+1.07746250000e+006, +3.12920827445e+002, +7.86971475341e+001
+1.07757500000e+006, +3.15573225335e+002, +7.86988650547e+001
+1.07768750000e+006, +3.18265213489e+002, +7.87030091986e+001
+1.07780000000e+006, +3.21011248559e+002, +7.87033493828e+001
+1.07791250000e+006, +3.23780839301e+002, +7.87044209355e+001
+1.07802500000e+006, +3.26561924940e+002, +7.87038202031e+001
+1.07813750000e+006, +3.29374997406e+002, +7.87028295798e+001
+1.07825000000e+006, +3.32237118572e+002, +7.87002821227e+001
+1.07836250000e+006, +3.35113919536e+002, +7.87008696169e+001
+1.07847500000e+006, +3.38006626260e+002, +7.86970713048e+001
+1.07858750000e+006, +3.40994528399e+002, +7.86905445280e+001
+1.07870000000e+006, +3.43961912713e+002, +7.86884481394e+001
+1.07881250000e+006, +3.46975412112e+002, +7.86803450608e+001
+1.07892500000e+006, +3.50039075847e+002, +7.86737729311e+001
+1.07903750000e+006, +3.53141710540e+002, +7.86612896403e+001
+1.07915000000e+006, +3.56255790704e+002, +7.86511499274e+001
+1.07926250000e+006, +3.59431729693e+002, +7.86354716426e+001
+1.07937500000e+006, +3.62635917836e+002, +7.86204252931e+001
+1.07948750000e+006, +3.65850798883e+002, +7.86061928689e+001
+1.07960000000e+006, +3.69112125998e+002, +7.85865583725e+001
+1.07971250000e+006, +3.72403795909e+002, +7.85714163266e+001
+1.07982500000e+006, +3.75719923899e+002, +7.85535615877e+001
+1.07993750000e+006, +3.79109796492e+002, +7.85325444389e+001
+1.08005000000e+006, +3.82508779680e+002, +7.85141660300e+001
+1.08016250000e+006, +3.85952011283e+002, +7.84925148994e+001
+1.08027500000e+006, +3.89447933416e+002, +7.84712276212e+001
+1.08038750000e+006, +3.92979752302e+002, +7.84470314406e+001
+1.08050000000e+006, +3.96545745594e+002, +7.84220579159e+001
+1.08061250000e+006, +4.00191761751e+002, +7.83972324358e+001
+1.08072500000e+006, +4.03835605369e+002, +7.83715656740e+001
+1.08083750000e+006, +4.07545687312e+002, +7.83455680379e+001
+1.08095000000e+006, +4.11312210432e+002, +7.83167247331e+001
+1.08106250000e+006, +4.15122524540e+002, +7.82898141990e+001
+1.08117500000e+006, +4.19007246386e+002, +7.82596967577e+001
+1.08128750000e+006, +4.22886164524e+002, +7.82237349752e+001
+1.08140000000e+006, +4.26855097694e+002, +7.81953273484e+001
+1.08151250000e+006, +4.30884890399e+002, +7.81619324986e+001
+1.08162500000e+006, +4.34931904931e+002, +7.81284189747e+001
+1.08173750000e+006, +4.39051544834e+002, +7.80886145623e+001
+1.08185000000e+006, +4.43222651405e+002, +7.80491991013e+001
+1.08196250000e+006, +4.47455713274e+002, +7.80123934838e+001
+1.08207500000e+006, +4.51757614041e+002, +7.79747578257e+001
+1.08218750000e+006, +4.56088883601e+002, +7.79336350427e+001
+1.08230000000e+006, +4.60497890897e+002, +7.78899389416e+001
+1.08241250000e+006, +4.64967711138e+002, +7.78475774469e+001
+1.08252500000e+006, +4.69491964228e+002, +7.78008058763e+001
+1.08263750000e+006, +4.74082157730e+002, +7.77532708396e+001
+1.08275000000e+006, +4.78739405115e+002, +7.77034177746e+001
+1.08286250000e+006, +4.83432120384e+002, +7.76596846987e+001
+1.08297500000e+006, +4.88227370012e+002, +7.76053723369e+001
+1.08308750000e+006, +4.93104729148e+002, +7.75530456172e+001
+1.08320000000e+006, +4.98049780631e+002, +7.74937804396e+001
+1.08331250000e+006, +5.03037610471e+002, +7.74422879818e+001
+1.08342500000e+006, +5.08141144992e+002, +7.73871782157e+001
+1.08353750000e+006, +5.13307326028e+002, +7.73314806570e+001
+1.08365000000e+006, +5.18535796900e+002, +7.72667123688e+001
+1.08376250000e+006, +5.23788294715e+002, +7.72051870976e+001
+1.08387500000e+006, +5.29224315396e+002, +7.71414340377e+001
+1.08398750000e+006, +5.34761994462e+002, +7.70741261583e+001
+1.08410000000e+006, +5.40302855867e+002, +7.70019817229e+001
+1.08421250000e+006, +5.45954997248e+002, +7.69405037453e+001
+1.08432500000e+006, +5.51629255864e+002, +7.68658513356e+001
+1.08443750000e+006, +5.57422626185e+002, +7.67942586645e+001
+1.08455000000e+006, +5.63368894952e+002, +7.67117570094e+001
+1.08466250000e+006, +5.69407019519e+002, +7.66358647173e+001
+1.08477500000e+006, +5.75499164832e+002, +7.65553807166e+001
+1.08488750000e+006, +5.81643067153e+002, +7.64771916548e+001
+1.08500000000e+006, +5.87919498788e+002, +7.63947881002e+001
+1.08511250000e+006, +5.94286199920e+002, +7.63119120242e+001
+1.08522500000e+006, +6.00771675894e+002, +7.62273970660e+001
+1.08533750000e+006, +6.07364871187e+002, +7.61421204954e+001
+1.08545000000e+006, +6.14080191200e+002, +7.60555112020e+001
+1.08556250000e+006, +6.20916551797e+002, +7.59667551320e+001
+1.08567500000e+006, +6.27878936997e+002, +7.58761702080e+001
+1.08578750000e+006, +6.34964878238e+002, +7.57813711291e+001
+1.08590000000e+006, +6.42179340866e+002, +7.56853130104e+001
+1.08601250000e+006, +6.49528282875e+002, +7.55877581446e+001
+1.08612500000e+006, +6.57004962789e+002, +7.54857461702e+001
+1.08623750000e+006, +6.64593638296e+002, +7.53827071894e+001
+1.08635000000e+006, +6.72321057425e+002, +7.52788428336e+001
+1.08646250000e+006, +6.80224673476e+002, +7.51705474555e+001
+1.08657500000e+006, +6.88264180888e+002, +7.50661002926e+001
+1.08668750000e+006, +6.96502044586e+002, +7.49547110870e+001
+1.08680000000e+006, +7.04881413039e+002, +7.48399813028e+001
+1.08691250000e+006, +7.13444106034e+002, +7.47218131102e+001
+1.08702500000e+006, +7.22187279673e+002, +7.46000797027e+001
+1.08713750000e+006, +7.31087464309e+002, +7.44736405148e+001
+1.08725000000e+006, +7.40163759207e+002, +7.43433562936e+001
+1.08736250000e+006, +7.49404689857e+002, +7.42089498565e+001
+1.08747500000e+006, +7.58813892262e+002, +7.40706281988e+001
+1.08758750000e+006, +7.68416816236e+002, +7.39298457900e+001
+1.08770000000e+006, +7.78195816250e+002, +7.37856182134e+001
+1.08781250000e+006, +7.88183428710e+002, +7.36368227670e+001
+1.08792500000e+006, +7.98354786867e+002, +7.34860691927e+001
+1.08803750000e+006, +8.08721718466e+002, +7.33313483187e+001
+1.08815000000e+006, +8.19317734218e+002, +7.31735742080e+001
+1.08826250000e+006, +8.30145538998e+002, +7.30127074845e+001
+1.08837500000e+006, +8.41192712600e+002, +7.28484873840e+001
+1.08848750000e+006, +8.52494817729e+002, +7.26782913833e+001
+1.08860000000e+006, +8.64036789511e+002, +7.25065183887e+001
+1.08871250000e+006, +8.75844400490e+002, +7.23296745136e+001
+1.08882500000e+006, +8.87905908498e+002, +7.21492080697e+001
+1.08893750000e+006, +9.00247662172e+002, +7.19633769502e+001
+1.08905000000e+006, +9.12884654203e+002, +7.17733245721e+001
+1.08916250000e+006, +9.25806141123e+002, +7.15788596159e+001
+1.08927500000e+006, +9.39046757767e+002, +7.13792804041e+001
+1.08938750000e+006, +9.52561768625e+002, +7.11761473328e+001
+1.08950000000e+006, +9.66443695571e+002, +7.09653097097e+001
+1.08961250000e+006, +9.80633262196e+002, +7.07499349035e+001
+1.08972500000e+006, +9.95198514020e+002, +7.05292443697e+001
+1.08983750000e+006, +1.01010221897e+003, +7.03030295742e+001
+1.08995000000e+006, +1.02539227237e+003, +7.00707373035e+001
+1.09006250000e+006, +1.04107212185e+003, +6.98320767811e+001
+1.09017500000e+006, +1.05715712540e+003, +6.95875730885e+001
+1.09028750000e+006, +1.07365577607e+003, +6.93348992030e+001
