Frequency (Hz)	Amplitude (m)	Phase Angle (deg)	Real (m)	Imaginary (m)
70100	8.4149e-011	0.	8.4149e-011	0.
70200	8.3773e-011	0.	8.3773e-011	0.
70300	8.341e-011	0.	8.341e-011	0.
70400	8.306e-011	0.	8.306e-011	0.
70500	8.2722e-011	0.	8.2722e-011	0.
70600	8.2396e-011	0.	8.2396e-011	0.
70700	8.2083e-011	0.	8.2083e-011	0.
70800	8.1782e-011	0.	8.1782e-011	0.
70900	8.1493e-011	0.	8.1493e-011	0.
71000	8.1215e-011	0.	8.1215e-011	0.
71100	8.095e-011	0.	8.095e-011	0.
71200	8.0697e-011	0.	8.0697e-011	0.
71300	8.0456e-011	0.	8.0456e-011	0.
71400	8.0227e-011	0.	8.0227e-011	0.
71500	8.001e-011	0.	8.001e-011	0.
71600	7.9805e-011	0.	7.9805e-011	0.
71700	7.9612e-011	0.	7.9612e-011	0.
71800	7.9432e-011	0.	7.9432e-011	0.
71900	7.9263e-011	0.	7.9263e-011	0.
72000	7.9107e-011	0.	7.9107e-011	0.
